8	41	30
12	45	30
16	46	30
21	47	30
35	47	30
36	46	30
36	41	30
35	39	30
34	37	30
33	36	30
32	34	30
31	32	30
30	30	30
29	29	30
32	29	30
32	28	30
29	25	30
27	24	30
25	24	30
24	22	30
16	14	30
14	13	30
12	11	30
10	10	30
9	10	30
8	11	30
8	13	30
12	17	30
14	18	30
17	20	30
21	24	30
13	24	30
13	27	30
14	28	30
18	29	30
24	29	30
28	33	30
28	34	30
30	37	30
31	39	30
31	41	30
19	41	30
18	40	30
15	40	30
11	36	30
9	35	30
7	35	30
6	36	30
6	37	30
7	39	30
8	41	30
8	41	40
35	26	30
41	32	30
43	33	30
44	34	30
46	35	30
49	36	30
51	36	30
52	35	30
52	33	30
51	33	30
49	32	30
47	31	30
45	29	30
43	28	30
41	27	30
38	24	30
38	22	30
39	21	30
40	21	30
48	29	30
48	30	30
50	32	30
51	32	30
52	31	30
52	29	30
48	25	30
48	23	30
49	22	30
51	22	30
53	24	30
53	21	30
50	18	30
48	17	30
46	17	30
45	18	30
45	22	30
44	22	30
40	18	30
37	18	30
35	22	30
35	26	30
35	26	40
56	26	30
62	32	30
64	33	30
65	34	30
67	35	30
70	36	30
72	36	30
73	35	30
73	33	30
72	33	30
70	32	30
68	31	30
66	29	30
64	28	30
62	27	30
59	24	30
59	22	30
60	21	30
61	21	30
69	29	30
69	30	30
71	32	30
72	32	30
73	31	30
73	29	30
69	25	30
69	23	30
70	22	30
72	22	30
74	24	30
74	21	30
71	18	30
69	17	30
67	17	30
66	18	30
66	22	30
65	22	30
61	18	30
58	18	30
56	22	30
56	26	30
56	26	40
86	38	30
88	40	30
90	40	30
91	39	30
90	37	30
89	36	30
87	35	30
86	36	30
86	38	30
86	38	40
78	28	30
84	34	30
86	34	30
87	33	30
87	32	30
86	30	30
81	25	30
81	22	30
83	21	30
85	22	30
89	26	30
88	24	30
88	22	30
84	18	30
82	17	30
81	17	30
79	18	30
78	19	30
78	28	30
78	28	40
90	25	30
92	27	30
92	28	30
91	29	30
91	30	30
92	32	30
93	34	30
96	35	30
97	34	30
96	33	30
100	33	30
101	34	30
103	34	30
103	32	30
104	31	30
104	30	30
101	27	30
99	26	30
97	24	30
97	23	30
98	22	30
100	22	30
101	23	30
103	24	30
105	26	30
105	23	30
104	22	30
102	21	30
99	18	30
99	17	30
98	15	30
98	14	30
95	11	30
95	10	30
93	8	30
91	7	30
90	6	30
87	6	30
87	11	30
93	17	30
95	18	30
96	19	30
95	20	30
93	21	30
92	22	30
92	23	30
95	26	30
97	27	30
98	28	30
98	29	30
96	29	30
95	28	30
93	26	30
90	23	30
90	25	30
90	25	40
89	10	30
94	15	30
96	16	30
96	14	30
95	12	30
91	9	30
89	9	30
89	10	30
89	10	40
20	80	40
